n,m,seed,round,inputs,distinct_states,collision_pairs,inherited_pairs,new_pairs,max_preimages,transition_evaluations,new_pairs_weighted_to_terminal
14,6,101,3,8,8,0,0,0,1,8,0
14,6,101,4,16,16,0,0,0,1,16,0
14,6,101,5,32,32,0,0,0,1,32,0
14,6,101,6,64,64,0,0,0,1,64,0
14,6,101,7,128,128,0,0,0,1,128,0
14,6,101,8,256,255,1,0,1,2,256,64
14,6,101,9,512,509,3,2,1,2,510,32
14,6,101,10,1024,1013,11,6,5,2,1018,80
14,6,101,11,2048,2003,45,22,23,2,2026,184
14,6,101,12,4096,3943,155,90,65,3,4006,260
14,6,101,13,8192,7652,565,310,255,4,7886,510
14,6,101,14,16384,14485,2092,1130,962,5,15304,962
14,6,202,1,2,2,0,0,0,1,2,0
14,6,202,2,4,4,0,0,0,1,4,0
14,6,202,3,8,8,0,0,0,1,8,0
14,6,202,4,16,16,0,0,0,1,16,0
14,6,202,5,32,32,0,0,0,1,32,0
14,6,202,6,64,64,0,0,0,1,64,0
14,6,202,7,128,128,0,0,0,1,128,0
14,6,202,8,256,256,0,0,0,1,256,0
14,6,202,9,512,512,0,0,0,1,512,0
14,6,202,10,1024,1019,5,0,5,2,1024,80
14,6,202,11,2048,2022,26,10,16,2,2038,128
14,6,202,12,4096,3983,113,52,61,2,4044,244
14,6,202,13,8192,7719,491,226,265,3,7966,530
14,6,202,14,16384,14589,1975,982,993,5,15438,993
14,6,303,1,2,2,0,0,0,1,2,0
14,6,303,2,4,4,0,0,0,1,4,0
14,6,303,3,8,8,0,0,0,1,8,0
14,6,303,4,16,16,0,0,0,1,16,0
14,6,303,5,32,32,0,0,0,1,32,0
14,6,303,6,64,64,0,0,0,1,64,0
14,6,303,7,128,128,0,0,0,1,128,0
14,6,303,8,256,255,1,0,1,2,256,64
14,6,303,9,512,509,3,2,1,2,510,32
14,6,303,10,1024,1011,13,6,7,2,1018,112
14,6,303,11,2048,2010,39,26,13,3,2022,104
14,6,303,12,4096,3965,135,78,57,3,4020,228
14,6,303,13,8192,7678,544,270,274,4,7930,548
14,6,303,14,16384,14445,2193,1088,1105,5,15356,1105
4,8,101,1,2,2,0,0,0,1,2,0
4,8,101,2,4,4,0,0,0,1,4,0
4,8,101,3,8,8,0,0,0,1,8,0
4,8,101,4,16,16,0,0,0,1,16,0
4,8,202,1,2,2,0,0,0,1,2,0
4,8,202,2,4,4,0,0,0,1,4,0
4,8,202,3,8,8,0,0,0,1,8,0
4,8,202,4,16,16,0,0,0,1,16,0
4,8,303,1,2,2,0,0,0,1,2,0
4,8,303,2,4,4,0,0,0,1,4,0
4,8,303,3,8,8,0,0,0,1,8,0
4,8,303,4,16,16,0,0,0,1,16,0
6,8,101,1,2,2,0,0,0,1,2,0
6,8,101,2,4,4,0,0,0,1,4,0
6,8,101,3,8,8,0,0,0,1,8,0
6,8,101,4,16,16,0,0,0,1,16,0
6,8,101,5,32,32,0,0,0,1,32,0
6,8,101,6,64,64,0,0,0,1,64,0
6,8,202,1,2,2,0,0,0,1,2,0
6,8,202,2,4,4,0,0,0,1,4,0
6,8,202,3,8,8,0,0,0,1,8,0
6,8,202,4,16,16,0,0,0,1,16,0
6,8,202,5,32,32,0,0,0,1,32,0
6,8,202,6,64,64,0,0,0,1,64,0
6,8,303,1,2,2,0,0,0,1,2,0
6,8,303,2,4,4,0,0,0,1,4,0
